Released_Year,Runtime,Genre,Meta_score,No_of_Votes,Gross,IMDB_Rating
2012,94,105,84.0,318789,45512466.0,7.8
2014,102,62,76.0,305611,177002924.0,7.8
2015,130,83,81.0,362942,70259870.0,7.8
2010,144,22,67.0,111252,128392.0,7.8
2011,158,129,71.0,423010,102515793.0,7.8
2013,134,37,82.0,421244,107100855.0,7.8
2015,147,87,72.0,179264,161197785.0,7.8
2009,129,129,79.0,52758,547292.0,7.8
2013,161,56,66.0,601408,258366855.0,7.8
2009,144,154,82.0,68715,2222647.0,7.8
2009,152,129,76.0,208994,10095170.0,7.8
2010,116,90,79.0,340584,93617009.0,7.8
2008,90,36,51.0,564791,145000989.0,7.8
2008,94,157,55.0,190748,9030581.0,7.8
2007,86,165,88.0,110656,9439923.0,7.8
2012,169,56,58.0,757377,303003568.0,7.8
2007,122,137,85.0,30827,741283.0,7.8
2007,123,168,85.0,251370,50927067.0,7.8
2011,100,122,78.0,571571,35061555.0,7.8
2007,157,84,76.0,392449,130164645.0,7.8
2009,162,6,83.0,1118998,760507625.0,7.8
2009,141,147,63.0,216421,3600.0,7.8
2006,139,4,68.0,291018,50866635.0,7.8
2006,101,100,80.0,439856,59891098.0,7.8
2007,121,19,81.0,463466,23637265.0,7.8
2008,166,147,70.0,589160,127509326.0,7.8
2004,192,140,67.0,49050,2921738.0,7.8
2005,94,95,51.0,45717,1305.0,7.8
2005,129,172,82.0,258924,38405088.0,7.8
2005,127,90,68.0,51980,5128124.0,7.8
2003,90,67,73.0,31658,128985.0,7.8
2005,119,11,74.0,283310,25514517.0,7.8
2005,136,88,72.0,234207,119519402.0,7.8
2003,113,137,61.0,35682,15280.0,7.8
2004,123,172,53.0,520284,81001787.0,7.8
2004,126,38,75.0,96703,16756372.0,7.8
2002,109,122,82.0,42673,181655.0,7.8
2003,80,74,91.0,50622,7002255.0,7.8
2002,131,4,61.0,129022,54234062.0,7.8
2001,99,78,83.0,60684,2892011.0,7.8
2000,113,90,48.0,198089,115654751.0,7.8
2000,120,6,94.0,253228,128078872.0,7.8
1999,101,137,87.0,89058,8264530.0,7.8
2000,143,50,73.0,524235,233632142.0,7.8
1999,108,24,44.0,227143,25812.0,7.8
1999,157,91,84.0,159886,28965197.0,7.8
1999,108,86,71.0,82855,32481825.0,7.8
2001,90,67,84.0,613941,267665011.0,7.8
1997,194,172,75.0,1046089,659325379.0,7.8
1997,106,177,64.0,280845,12339633.0,7.8
1997,129,27,61.0,345096,48323648.0,7.8
1996,159,137,76.0,62428,4040691.0,7.8
1994,127,83,70.0,164937,5887457.0,7.8
1993,118,137,73.0,215034,9170214.0,7.8
1993,130,16,50.0,126871,56505065.0,7.8
1993,101,101,55.0,78963,32416586.0,7.8
1993,134,172,84.0,66065,22954968.0,7.8
1993,132,100,84.0,34635,1769305.0,7.8
1993,130,22,87.0,267684,183875760.0,7.8
1993,121,130,80.0,128171,17266971.0,7.8
1991,129,100,68.0,55362,2015810.0,7.8
1991,98,145,86.0,42376,1999955.0,7.8
1991,112,122,76.0,126082,57504069.0,7.8
1990,107,179,75.0,184740,61276872.0,7.8
1990,121,85,74.0,125276,52096475.0,7.8
1989,122,87,78.0,122779,26830000.0,7.8
1989,108,44,57.0,481918,118500000.0,7.8
1988,128,125,65.0,88214,34603943.0,7.8
1987,107,11,45.0,371387,59735548.0,7.8
1987,84,18,72.0,148359,5923044.0,7.8
1986,103,93,61.0,321382,70136369.0,7.8
1986,107,95,75.0,47834,1436000.0,7.8
1985,114,41,62.0,244430,61503218.0,7.8
1985,154,137,78.0,78321,98467863.0,7.8
1985,97,100,66.0,357026,45875171.0,7.8
1984,141,87,76.0,51585,34700291.0,7.8
1984,105,18,71.0,355413,238632124.0,7.8
1983,193,38,91.0,56235,21500000.0,7.8
1982,109,95,73.0,88511,2500000.0,7.8
1982,115,186,91.0,372490,435110554.0,7.8
1979,105,137,77.0,133351,106260000.0,7.8
1976,135,201,69.0,65659,31800000.0,7.8
1974,113,170,85.0,98611,4420000.0,7.8
1973,72,82,73.0,25229,193817.0,7.8
1973,143,132,80.0,37445,16056255.0,7.8
1972,124,163,80.0,48334,42765000.0,7.8
1971,100,185,67.0,178731,4000000.0,7.8
1969,113,137,79.0,101124,44785053.0,7.8
1967,108,200,81.0,27733,17550741.0,7.8
1967,108,100,63.0,39642,56700000.0,7.8
1964,170,140,95.0,86525,72000000.0,7.8
1964,139,109,88.0,158029,102272727.0,7.8
1962,178,26,75.0,52141,39100000.0,7.8
1961,100,192,88.0,27007,2616000.0,7.8
1935,75,160,95.0,43542,4360000.0,7.8
2017,104,172,85.0,25198,335609.0,7.7
2018,119,2,66.0,478586,324591735.0,7.7
2017,107,129,73.0,205444,33800859.0,7.7
2017,104,194,85.0,492851,176040665.0,7.7
2018,147,12,86.0,291257,220159104.0,7.7
2015,116,105,70.0,47444,3358518.0,7.7
2014,86,112,76.0,157498,3333000.0,7.7
2014,103,77,72.0,32798,765127.0,7.7
2014,123,89,72.0,404182,35893537.0,7.7
2014,129,2,60.0,590440,128261724.0,7.7
2014,126,172,69.0,344312,124872350.0,7.7
2015,105,100,74.0,123210,6743776.0,7.7
2014,119,100,87.0,580291,42340598.0,7.7
2013,180,172,89.0,138741,2199675.0,7.7
2013,130,178,40.0,32628,1122527.0,7.7
2012,111,165,70.0,39379,175058.0,7.7
2014,136,11,70.0,736182,259766572.0,7.7
2013,115,40,87.0,112298,17654912.0,7.7
2012,101,67,72.0,380195,189422889.0,7.7
2015,108,68,70.0,56720,1339152.0,7.7
2011,98,137,52.0,77071,71177.0,7.7
2011,96,111,81.0,388089,56816662.0,7.7
2014,100,62,83.0,323982,257760692.0,7.7
2013,91,177,96.0,769145,274092705.0,7.7
2013,132,11,72.0,463188,228778661.0,7.7
2015,137,182,79.0,73964,83861.0,7.7
2010,120,85,95.0,624982,96962694.0,7.7
2011,131,11,65.0,645512,146408305.0,7.7
2009,100,93,73.0,717559,277322503.0,7.7
2012,143,12,81.0,630614,304360277.0,7.7
2012,122,105,81.0,661871,132092958.0,7.7
2012,120,91,86.0,572581,136025503.0,7.7
2009,95,105,76.0,472242,32391374.0,7.7
2010,146,55,65.0,479120,295983305.0,7.7
2008,101,67,86.0,125317,15090400.0,7.7
2008,122,87,80.0,103330,18593156.0,7.7
2006,90,78,81.0,71379,881302.0,7.7
2008,141,84,63.0,239203,35739802.0,7.7
2010,90,105,45.0,81446,1752214.0,7.7
2006,101,122,86.0,115576,327919.0,7.7
2014,108,177,78.0,474141,25442958.0,7.7
2006,120,137,78.0,32001,412544.0,7.7
2006,123,87,74.0,175355,17605861.0,7.7
2007,157,129,78.0,466080,33080084.0,7.7
2006,110,22,53.0,299524,22494487.0,7.7
2005,116,153,70.0,28003,1054361.0,7.7
2007,122,88,78.0,61609,871577.0,7.7
2010,100,67,71.0,405922,200821936.0,7.7
2006,145,180,71.0,72643,4398392.0,7.7
2005,134,172,87.0,323103,83043761.0,7.7
2007,122,22,76.0,288797,53606916.0,7.7
2004,112,132,66.0,419483,54580300.0,7.7
2004,99,18,78.0,127250,17108591.0,7.7
2004,108,33,73.0,434841,176241941.0,7.7
2004,101,179,61.0,358432,1082715.0,7.7
2004,152,88,73.0,138356,75331600.0,7.7
2003,102,100,89.0,415074,44585453.0,7.7
2005,157,55,81.0,548619,290013036.0,7.7
2004,146,22,47.0,329592,77911774.0,7.7
2009,100,77,80.0,197761,75286229.0,7.7
2003,154,25,55.0,400049,111110575.0,7.7
2002,114,137,83.0,25938,4890878.0,7.7
2003,121,105,68.0,137981,4064200.0,7.7
2002,105,137,76.0,40403,15539266.0,7.7
2001,132,137,28.0,142863,40311852.0,7.7
